Threads,BFS,PR,WCC,SpMV,BC
2,46.72,82.581,72.307,20.464,62.837
4,25.605,43.077,37.056,10.184,35.655
8,16.21,27.185,20.539,6.128,26.619
16,12.692,20.119,14.959,4.22,24.85
