Threads,BFS,PR,WCC,SpMV,BC
2,25.568,57.007,49.162,13.71,43.314
4,13.185,30.782,27.029,7.325,22.94
8,7.41,17.842,15.352,3.97,15.245
16,5.86,14.145,13.645,3.348,12.176
