Threads,BFS,PR,WCC,SpMV,BC
2,271.119,575.439,496.741,154.194,504.521
4,140.393,297.104,253.956,79.294,258.086
8,72.84,160.027,131.851,42.074,147.055
16,43.949,110.175,107.965,29.388,101.389
