Datasets,BFS,PR,WCC,SpMV,BC
rmat27,2406,1843,2528,1862,2321
rmat30,2443,1717,2546,1526,2260
uran27,2501,1841,2291,1518,2451
twitter,2365,2104,2505,2071,2265
sk2005,2365,1816,2512,1414,2299
friendster,2331,1774,2470,1786,2292
