Threads,BFS,PR,WCC,SpMV,BC
2,30.316,131.134,46.317,14.414,41.258
4,17.039,68.558,23.915,7.294,24.673
8,10.991,38.886,13.108,3.836,19.723
16,9.57,28.991,11.774,2.812,19.69
