Datasets,BFS,PR,WCC,SpMV,BC
rmat27,5.853,14.131,13.639,3.355,12.147
rmat30,44.218,110.039,108.026,29.343,101.952
uran27,12.665,20.714,14.963,4.225,24.701
twitter,6.511,25.109,9.454,2.259,14.835
sk2005,9.648,24.025,12.664,2.969,15.896
friendster,9.593,29.035,11.769,2.821,19.692
