Datasets,BFS,PR,WCC,SpMV,BC
rmat27,2363,2409,2516,2558,2273
rmat30,2193,2382,2544,2335,1932
uran27,2379,2042,2294,2034,2440
twitter,2347,2371,2501,2596,2248
sk2005,2326,2365,2500,2622,2237
friendster,2282,2319,2459,2570,2249
