Threads,BFS,PR,WCC,SpMV,BC
2,18.709,83.645,32.959,8.787,25.631
4,10.742,45.443,17.947,4.603,16.397
8,7.527,27.865,10.085,2.57,14.546
16,6.56,25.323,9.464,2.266,14.585
