Threads,BFS,PR,WCC,SpMV,BC
2,10.384,57.686,34.916,8.402,17.586
4,9.854,33.456,18.764,4.504,16.346
8,9.659,24.557,13.073,3.002,15.788
16,9.595,24.111,12.7,2.975,15.818
